,purpose,scale,level,timing,sn
6428,NA,NA,NA,NA,Laniisoma elegans
6429,NA,NA,NA,NA,Calyptura cristata
6430,NA,NA,NA,NA,Neopipo cinnamomea
6431,NA,NA,NA,NA,Platyrinchus saturatus
6432,NA,NA,NA,NA,Platyrinchus cancrominus
6433,NA,NA,NA,NA,Platyrinchus albogularis
6434,NA,NA,NA,NA,Platyrinchus mystaceus
6435,NA,NA,NA,NA,Platyrinchus coronatus
6436,NA,NA,NA,NA,Platyrinchus flavigularis
6437,NA,NA,NA,NA,Platyrinchus platyrhynchos
6438,NA,NA,NA,NA,Platyrinchus leucoryphus
6439,NA,NA,NA,NA,Piprites griseiceps
6440,NA,NA,NA,NA,Piprites chloris
6441,NA,NA,NA,NA,Piprites pileata
6442,NA,NA,NA,NA,Tachuris rubrigastra
6443,NA,NA,NA,NA,Pseudotriccus pelzelni
6444,NA,NA,NA,NA,Pseudotriccus simplex
6445,NA,NA,NA,NA,Pseudotriccus ruficeps
6446,NA,NA,NA,NA,Corythopis torquatus
6447,NA,NA,NA,NA,Corythopis delalandi
6448,NA,NA,NA,NA,Phylloscartes flavovirens
6449,NA,NA,NA,NA,Phylloscartes ventralis
6450,NA,NA,NA,NA,Phylloscartes virescens
6451,NA,NA,NA,NA,Phylloscartes beckeri
6452,NA,NA,NA,NA,Phylloscartes kronei
6453,NA,NA,NA,NA,Phylloscartes gualaquizae
6454,NA,NA,NA,NA,Phylloscartes nigrifrons
6455,NA,NA,NA,NA,Phylloscartes ceciliae
6456,NA,NA,NA,NA,Phylloscartes superciliaris
6457,NA,NA,NA,NA,Phylloscartes flaviventris
6458,NA,NA,NA,NA,Phylloscartes parkeri
6459,NA,NA,NA,NA,Phylloscartes roquettei
6460,NA,NA,NA,NA,Phylloscartes paulista
6461,NA,NA,NA,NA,Phylloscartes oustaleti
6462,NA,NA,NA,NA,Phylloscartes difficilis
6463,NA,NA,NA,NA,Phylloscartes sylviolus
6464,NA,NA,NA,NA,Pogonotriccus poecilotis
6465,NA,NA,NA,NA,Pogonotriccus chapmani
6466,NA,NA,NA,NA,Pogonotriccus ophthalmicus
6467,NA,NA,NA,NA,Pogonotriccus venezuelanus
6468,NA,NA,NA,NA,Pogonotriccus lanyoni
6469,NA,NA,NA,NA,Pogonotriccus orbitalis
6470,NA,NA,NA,NA,Pogonotriccus eximius
6471,NA,NA,NA,NA,Mionectes striaticollis
6472,NA,NA,NA,NA,Mionectes olivaceus
6473,NA,NA,NA,NA,Mionectes galbinus
